route_id,stops,stop_names,num_stops,total_distance_km
Route_1,KINGTHO2 → KINGDIP2 → KINGSCE2 → KINGECHO → KINGCHI2 → KINGEAGL → BURLCAIR → BURLPOMI → SHELBUR2 → SHELODEL → SHELDEVE,King Edward at Thompson SB - #1089 → King Edward at Dieppe SB - #2334 → King Edward at Scenic SB - #1088 → King Edward at Echo SB - #1083 → King Edward at Chippendale SB - #1079 → King Edward at Eagle SB - #1082 → Burlington at Cairn EB - #312 → Burlington at Pond Mills EB - #313 → Shelborne at Burlington Gate SB - #1656 → Shelborne at Odell Place EB - #2452 → Shelborne at Deveron EB - #1657,11,2.23
Route_2,ARGYMAL1 → DUNDEAS3 → DUNDWAV1 → DUNDFOR1 → DUNDSPE1 → DUNDCARL → BONADUND,Argyle Mall SB - Stop 1 - #166 → Dundas east of Eastwood EB - #557 → Dundas east of Wavell EB - #617 → Dundas at Forest Lawn EB - #569 → Dundas at Speight EB - #605 → Dundas at Carlyle EB - #547 → Bonaventure at Dundas SB - #281,7,2.27
Route_3,HAMIHIG2 → HAMIGIL2 → HAMIEAST → HAMISJU2 → HAMIELM → HAMIEGE2 → HAMISAC2 → HAMIREC2 → HAMILTGR → HAMIADE2 → HAMIWIL2 → HORTHAMI → HORTCOL1 → HORTWAT2 → WELLHOR1 → WELLDUN3 → QUEECLAR → RICHQUE2,Hamilton at Highbury WB - #861 → Hamilton at Giles WB - #856 → Hamilton at East WB - #850 → Hamilton at St. Julien WB - #884 → Hamilton at Elm WB - #854 → Hamilton at Egerton WB - #852 → Hamilton at Sackville WB - #880 → Hamilton at Rectory WB - #875 → Hamilton at Little Grey WB - #863 → Hamilton at Adelaide WB - #846 → Hamilton at William WB - #2318 → Horton at Hamilton WB - #966 → Horton at Colborne WB - #2239 → Horton at Waterloo WB - #977 → Wellington at Horton Station NB - #1947 → Wellington at King Station NB - #1939 → Queens at Clarence Station WB - #1442 → Richmond south of Queens SB - #2742,18,5.49
Route_4,ERNEJAL2 → ERNEELVI → ERNEPAUL → ERNEBRA2 → ERNECON2 → ERNEFEN2 → ERNEFINC → ERNESCO1 → JALNERN5 → MEGEXE2 → EXETMEG → SHOLEXE1 → SHOLJAL1 → JALNPIER → WHOKMANB,Ernest at Jalna SB - #663 → Ernest at Elvira SB - #658 → Ernest at Pauline SB - #667 → Ernest at Bradley SB - #655 → Ernest at Conway SB - #657 → Ernest at Fennel SB - #660 → Ernest at Finch SB - #661 → Ernest at Scotchmere SB - #668 → Jalna at Ernest south EB - #1057 → Meg at Exeter SB - #1169 → Exeter at Meg EB - #670 → Sholto at Exeter NB - #1658 → Sholto at Jalna Blvd NB - #1660 → Jalna at Piers NB - #1064 → Jalna at White Oaks Mall NB - #2295,15,3.68
Route_5,SPRIWON2 → SPRIQUI2 → SPRIJAR2 → SPRIHIC2 → SPRIWES4 → SPRICOM2 → COMMSPR2 → COMMNOR2 → COMMLYN4 → COMMSPR4 → COMMBOL2 → COMMHAM2,Springbank at Wonderland  WB - #1755 → Springbank at Quinella WB - #1747 → Springbank at Jarvis St WB - #1741 → Springbank at Hillcrest Dr WB - #1739 → Springbank West of Westmount WB - #1753 → Springbank at Commissioners WB - #1734 → Commissioners & Springbank Dr WB - #480 → Commissioners at North WB - #472 → Opposite St George's Parish - #468 → Commissioners at Springbank Park WB - #481 → Commissioners at Boler WB - #448 → Commissioners east of Halls Mills WB - #458,12,5.82
Route_6,PARKMAEN → VICTCOMM → VICTMUBU → VICTZON7 → BASEFAI2 → BASEWEL6 → HIGHBASE → HIGHCHE1 → HIGHEME1 → HIGHWIN3 → HIGHMCL1 → GRANHIG2 → GRANHIG4 → CARFGRAN → CARFCAR1 → RICHSIM1 → RICHHOT3 → RICHKIN1 → RICHQUEE → RICHKEN1 → RICHHYM1 → RICHPALL → RICHOXF1 → RICHJAM1 → RICHGRO1 → RICHCHE1 → RICHVIC1 → RICHREG1 → RICHHUR1 → RICHUNI1 → RICHBERN → RICHRAY1 → WINDRIC2 → PERTWIN2 → UNIVHOS2,Parkwood Hospital Main Entrance WB - #1373 → Victoria Hospital at Commissioners NB - #1854 → Victoria Hospital at Medical Unit Building - #1856 → Victoria Hospital at Zone E WB - #2423 → Base Line west of Fairview Ave WB - #189 → Base Line west of Wellington WB - #210 → High at Baseline NB - #930 → High at Chester NB - #931 → High at Emery NB - #933 → High at Windsor Cres NB - #941 → High at McClary NB - #937 → Grand at High WB - #791 → 84 Grand WB - #792 → Carfrae at Grand NB - #325 → Carfrae at Carfrae NB - #323 → Richmond at Simcoe NB - #1509 → Richmond south of Horton NB - #1480 → Richmond at King NB - #1490 → Richmond at Queens NB - #1501 → Richmond at Angel NB - #1488 → Richmond at Hyman NB - #1483 → Richmond at Pall Mall NB - #1496 → Richmond at Oxford NB - #1494 → Richmond at St. James NB - #1486 → Richmond at Grosvenor NB - #1476 → Richmond at Cheapside NB - #1464 → Richmond at Victoria NB - #1514 → Richmond at Regent NB - #1506 → Richmond at Huron NB - #1481 → Richmond at University NB - #1512 → Richmond at Bernard NB - #2870 → Richmond north of Raymond NB - #1502 → Windermere at Richmond  WB - #2084 → Perth at Windermere SB - #1379 → Universtiy Hospital SB - #1817,35,10.16
Route_7,BRYDHIG3 → BRYDHAL1 → BRYDCORN → WAVEKIW1 → WAVEVANC → WAVEEDM1 → WAVEMER1 → CLARWAV1 → CLARCHU1 → ARGYMAL2 → DUNDEAS3 → WAVEDUN6 → WAVEDUN2 → WAVEDUN4 → WAVECAS2 → CLARWAV1 → CLARCHU1 → ARGYMAL1,Brydges at Highbury  EB - #309 → Brydges at Hale EB - #305 → Brydges at Cornish EB - #2207 → Wavell at Kiwanis Park Dr EB - #1910 → Wavell at Vancouver St. EB - #1916 → Wavell at Edmonton St EB - #1907 → Wavell East of Merlin Cr EB - #1912 → Clarke Road Secondary School - #420 → Clarke at Churchill NB - #398 → Argyle Mall NB - Stop 2 - #167 → Dundas east of Eastwood EB - #557 → Wavell at Dundas SB - #1906 → 2040 Wavell SB - #1903 → 1990 Wavell SB - #1905 → Wavell at Castle Dr WB - #1897 → Clarke Road Secondary School - #420 → Clarke at Churchill NB - #398 → Argyle Mall SB - Stop 1 - #166,18,5.91
Route_8,WONDGAIN → BLACWOND → BLACHOM2 → BLACEDG2 → BLACEDG4 → BLACWWA2 → ALDEBLA3 → FANSALD1 → FANSFOX1 → FANSWOND,Wonderland at Gainsborough NB - #2107 → Blackacres at Wonderland WB - #267 → Blackacres at Hawthorne NB - #265 → Blackacres at Edgehill Cres 1 WB - #262 → Blackacres at Edgehill Cres WB - #263 → Blackacres at Winding Way WB - #269 → Aldersbrook north of Blackacres NB - #120 → Fanshawe at Aldersbrook EB - #2510 → Fanshawe at Foxwood EB - #2755 → Fanshawe at Wonderland NS EB - #2835,10,3.32
Route_9,HIGBBRY2 → HIGBTRA2 → HIGBCALV → HIGBHAM2 → COMMDEV6 → COMMDEV2 → PONDDEV2 → PONDBAN2 → PONDDEV4 → PONDMIR4 → PONDMIR2 → PONDMILL → SOUTPOM2 → SOUTKOR2 → SOUTMIL2 → SOUTMIL4 → SOUTMIL6 → ADELSDAL → ADELOSG2 → ADELOSG6 → ADELOSG4 → BRADADE2 → BRADADE4 → BRADAGN2 → BRADWIL4 → BRADDEAR → WELLBRA2 → WHITOMA2 → WELLBRA1 → WELLMON1 → WELLSDA5 → SOUTMONT → SOUTVER2 → SOUTEAS2 → SOUTNIX2 → SOUTDUL2 → SOUTDUN2 → SOUTHOME → SOUTWHA4 → SOUTWHA2 → SOUTNOD2 → SOUTNOD4 → SOUTAND2 → SOUTWON2 → WONDSDA1 → WONDPVA1 → WONDMMA3 → WONDMMA1 → WESTMAL6 → WONDVIS3 → WONDVIL1 → WONDCOM1 → WONDCOM3 → WONDTEE1 → WONDSPR1 → WONDRIV1 → WONDKIW1 → WONDOXF3 → WONDOXF1 → WONDFAR1 → WONDFAR3 → WONDBEA1 → WONDSAR5 → WONDLAW1 → WONDANN1 → WONDGAIN → WONDWHI1 → WONDATT1 → WONDALD1 → FANSWON1 → 517FANS1 → FANSPIN2 → FANSDER1 → FANSLOU1 → FANSRIC4 → MASOSTO5,Highbury at Brydges SB - #896 → Highbury at Trafalgar SB - #927 → Highbury at Calvin SB - #897 → Highbury at Hamilton SB - #910 → Commissioners east of Deveron WB - #453 → Commissioners west of Deveron 1 WB - #450 → Pond Mills north of Deveron SB - #1410 → Pond Mills at Banbury SB - #1401 → Pond Mills south of Deveron SB - #1411 → 492 Pond Mills - #1418 → Pond Mills at Millridge SB - #1416 → Pond Mills at Millers SB - #1414 → Southdale at Pond Mills WB - #1698 → Southdale at Koru Crt WB - #1684 → Southdale East of Millbank WB - #1686 → 964 Southdale WB - #1688 → Southdale West of Millbank WB - #1690 → Adelaide at Southdale SB - #77 → Adelaide at NW Osgoode SB - #61 → Adelaide at SW Osgoode SB - #65 → Adelaide at SE Osgoode SB - #63 → Bradley at Adelaide  WB - #292 → Bradley between Adelaide & Willow WB - #2324 → Bradley at Willow 1 WB - #293 → Bradley at Willow 2 WB - #2205 → Bradley at Dearness WB - #294 → Wellington at Bradley  SB - #1927 → White Oaks Mall Stop 1 - #2062 → Wellington North of Bradley  NB - #1926 → Wellington at Montgomery Gate NB - #1952 → Wellington at Southdale NS 3 NB - #2887 → Southdale at Montgomery WB - #2878 → Southdale at Verulam WB - #1701 → Southdale at Easy WB - #1678 → Southdale at Nixon WB - #1692 → Southdale at Dulaney WB - #1674 → Southdale at Dundalk WB - #1675 → Southdale at Homeview WB - #1680 → Southdale East of Wharncliffe WB - #1709 → Southdale West of Wharncliffe WB - #1707 → Southdale East of Notre Dame WB - #1695 → Southdale West of Notre Dame WB - #1696 → Southdale at Andover  WB - #1669 → Southdale at Wonderland  WB - #1714 → Wonderland at Southdale NB - #2128 → Wonderland at PineValley Gate NB - #2119 → Wonderland South of McMaster NB - #2113 → Wonderland North of McMaster NB - #2111 → Westmount Mall at Stop 6 - #2438 → 780 Wonderland Rd NB - #2139 → Wonderland at Village Green NB - #2135 → Wonderland South of Commissioners NB - #2100 → Wonderland North of Commissioners NB - #2102 → Wonderland at Teeple Terrace NB - #2134 → Wonderland at Springbank NB - #2132 → Wonderland at Riverside NB - #2122 → Wonderland at Kingsway  NB - #2108 → Wonderland at Oxford St NB - #2117 → Wonderland North of Oxford  NB - #2115 → Wonderland North of Farrah Stop 1 NB - #2103 → Wonderland North of Farrah Stop 2 NB - #2105 → Wonderland at Beaverbrook NB - #2097 → Wonderland North of Sarnia NB - #2987 → Wonderland at Lawson NB - #2985 → Wonderland at Annadale NB - #2981 → Wonderland at Gainsborough NB - #2107 → Wonderland at Whiteacres NB - #2989 → Wonderland at Attawandaron NB - #2982 → Wonderland at Aldersbrook NB - #2980 → Fanshawe at Wonderland EB - #2516 → Opp 517 Fanshawe Park Rd EB - #2979 → Fanshawe at Pinnacle EB - #2514 → Fanshawe at Derwent EB - #2227 → Fanshawe at Louise EB - #701 → Fanshawe at Richmond EB - #2831 → Masonville Place Stop #5 - #1144,76,29.42
Route_10,NATSCI → WESTELG1 → WESTWIN1 → WINDRIC1 → RICHWIN2 → RICHRAY2 → RICHPAR2 → RICHUNI2 → RICHHUR2 → RICHVIC2 → RICHCHE2 → RICHGRO2 → RICHJAM2 → RICHOXF2 → RICHMILL → RICHCENT → RICHKEN2 → RICHDUF2 → RICHQUE1 → QUENRIDO,Natural Science - #1222 → Western at Elgin Dr NB - #1988 → Windermere at Western EB - #2772 → Windermere at Richmond EB - #2083 → Richmond at Windermere SB - #1521 → Richmond at Raymond SB - #1503 → Richmond at Parkdale Ave SB - #1497 → Richmond at University SB - #1513 → Richmond at Huron SB - #1482 → Richmond at Victoria SB - #1515 → Richmond at Cheapside SB - #1465 → Richmond at Grosvenor SB - #1477 → Richmond at St. James SB - #1487 → Richmond at Oxford SB - #1495 → Richmond at Mill SB - #1493 → Richmond at Central SB - #1463 → Richmond at Kent SB - #1489 → Richmond at Dufferin SB - #1467 → Richmond north of Queens SB - #2741 → Queens at Ridout Station WB - #1443,20,5.84
Route_11,RICHQUEE → RICHKEN1 → RICHHYM1 → RICHPALL → OXFORIC1 → OXFOWEL1 → OXFOWAT1 → OXFOCOL1 → OXFOMAI1 → OXFOWIL1 → OXFOADE1 → OXFOELI1 → OXFOELL1 → OXFOGAM1 → OXFOSTE1 → OXFOQUE1 → OXFOSTRA → OXFOSPIT → OXFOCLE1 → OXFOEMPI → OXFOMORN → OXFOHIG1 → OXFOHIG3 → FANSCOLL,Richmond at Queens NB - #1501 → Richmond at Angel NB - #1488 → Richmond at Hyman NB - #1483 → Richmond at Pall Mall NB - #1496 → Oxford at Richmond EB - #1333 → Oxford at Wellington EB - #1356 → Oxford at Waterloo EB - #1354 → Oxford at Colborne EB - #1280 → Oxford at Maitland EB - #1320 → Oxford at William EB - #1360 → Oxford at Adelaide EB - #1260 → Oxford at Elizabeth EB - #1285 → Oxford at Elliott EB - #1287 → Oxford at Gammage EB - #1296 → Oxford at Sterling EB - #1346 → Oxford at Quebec EB - #1329 → Oxford at Strand EB - #1348 → Oxford at Spittal EB - #1345 → Oxford at Clemens EB - #1278 → Oxford at Empire EB - #1289 → Oxford at Mornington EB - #1322 → Oxbury Centre EB - #1307 → Oxford at Highbury EB - #1309 → Fanshawe College - #2914,24,6.45
Route_12,WELLDUN3 → QUEECLAR → RICHQUEE → RICHKEN1 → RICHHYM1 → RICHPALL → RICHOXF1 → RICHJAM1 → RICHGRO1 → RICHCHE1 → RICHVIC1 → RICHREG1 → RICHHUR1 → UNIVSUN2 → MIDDPERT → NATSCI,Wellington at King Station NB - #1939 → Queens at Clarence Station WB - #1442 → Richmond at Queens NB - #1501 → Richmond at Angel NB - #1488 → Richmond at Hyman NB - #1483 → Richmond at Pall Mall NB - #1496 → Richmond at Oxford NB - #1494 → Richmond at St. James NB - #1486 → Richmond at Grosvenor NB - #1476 → Richmond at Cheapside NB - #1464 → Richmond at Victoria NB - #1514 → Richmond at Regent NB - #1506 → Richmond at Huron NB - #1481 → Elgin Hall WB - #1821 → Talbot College - #1173 → Natural Science - #1222,16,4.78
